"","test3$TimeConverted","X_coord","Y_coord","hr","time"
"106",2019-12-05 23:13:46,-0.12531054019928,51.5070300102234,121,2019-12-05 23:13:46
"107",2019-12-05 23:13:47,-0.125278472900391,51.5070290565491,120,2019-12-05 23:13:47
"108",2019-12-05 23:13:48,-0.125255107879639,51.5070272684097,120,2019-12-05 23:13:48
"109",2019-12-05 23:13:49,-0.125236868858337,51.5070244073868,120,2019-12-05 23:13:49
"110",2019-12-05 23:13:50,-0.125223994255066,51.5070213079453,120,2019-12-05 23:13:50
"111",2019-12-05 23:13:51,-0.125212669372559,51.5070170164108,120,2019-12-05 23:13:51
"112",2019-12-05 23:13:52,-0.125200867652893,51.5070099830627,121,2019-12-05 23:13:52
"113",2019-12-05 23:13:53,-0.125186800956726,51.5070012807846,121,2019-12-05 23:13:53
"114",2019-12-05 23:13:54,-0.125172972679138,51.506995677948,121,2019-12-05 23:13:54
"115",2019-12-05 23:13:55,-0.125158905982971,51.5069924592972,121,2019-12-05 23:13:55
"116",2019-12-05 23:13:56,-0.125148892402649,51.5069900751114,121,2019-12-05 23:13:56
"117",2019-12-05 23:13:57,-0.125138759613037,51.5069872140884,121,2019-12-05 23:13:57
"118",2019-12-05 23:13:58,-0.125124216079712,51.5069816112518,121,2019-12-05 23:13:58
"119",2019-12-05 23:13:59,-0.125104069709778,51.5069743394852,121,2019-12-05 23:13:59
"120",2019-12-05 23:14:00,-0.125074863433838,51.5069650411606,121,2019-12-05 23:14:00
"121",2019-12-05 23:14:01,-0.125048875808716,51.5069590806961,121,2019-12-05 23:14:01
"122",2019-12-05 23:14:02,-0.125030279159546,51.5069558620453,121,2019-12-05 23:14:02
"123",2019-12-05 23:14:03,-0.125012159347534,51.5069537162781,121,2019-12-05 23:14:03
"124",2019-12-05 23:14:04,-0.124987959861755,51.5069519281387,121,2019-12-05 23:14:04
"125",2019-12-05 23:14:05,-0.124958515167236,51.5069506168365,121,2019-12-05 23:14:05
"126",2019-12-05 23:14:06,-0.124921083450317,51.5069500207901,122,2019-12-05 23:14:06
"127",2019-12-05 23:14:07,-0.124891638755798,51.5069478750229,122,2019-12-05 23:14:07
"128",2019-12-05 23:14:08,-0.12486732006073,51.5069454908371,122,2019-12-05 23:14:08
"129",2019-12-05 23:14:09,-0.124848604202271,51.5069437026978,122,2019-12-05 23:14:09
"130",2019-12-05 23:14:10,-0.124829530715942,51.5069425106049,122,2019-12-05 23:14:10
"131",2019-12-05 23:14:11,-0.124803423881531,51.5069423913956,122,2019-12-05 23:14:11
"132",2019-12-05 23:14:12,-0.12476909160614,51.5069432258606,122,2019-12-05 23:14:12
"133",2019-12-05 23:14:13,-0.124742388725281,51.5069439411163,123,2019-12-05 23:14:13
"134",2019-12-05 23:14:14,-0.124722957611084,51.5069439411163,124,2019-12-05 23:14:14
"135",2019-12-05 23:14:15,-0.124708414077759,51.506942987442,124,2019-12-05 23:14:15
"136",2019-12-05 23:14:16,-0.12469470500946,51.5069409608841,125,2019-12-05 23:14:16
"137",2019-12-05 23:14:17,-0.124679327011108,51.506936788559,125,2019-12-05 23:14:17
"138",2019-12-05 23:14:18,-0.124663472175598,51.5069311857224,125,2019-12-05 23:14:18
"139",2019-12-05 23:14:19,-0.12464439868927,51.5069251060486,125,2019-12-05 23:14:19
"140",2019-12-05 23:14:20,-0.124628186225891,51.5069208145142,125,2019-12-05 23:14:20
"141",2019-12-05 23:14:21,-0.124616980552673,51.5069173574448,126,2019-12-05 23:14:21
"142",2019-12-05 23:14:22,-0.124606132507324,51.5069137811661,126,2019-12-05 23:14:22
"143",2019-12-05 23:14:23,-0.12459135055542,51.5069092512131,126,2019-12-05 23:14:23
"144",2019-12-05 23:14:24,-0.124573230743408,51.5069040060043,126,2019-12-05 23:14:24
"145",2019-12-05 23:14:25,-0.124550223350525,51.5068978071213,126,2019-12-05 23:14:25
"146",2019-12-05 23:14:26,-0.1245356798172,51.5068944692612,125,2019-12-05 23:14:26
"147",2019-12-05 23:14:27,-0.124525427818298,51.5068924427032,125,2019-12-05 23:14:27
"148",2019-12-05 23:14:28,-0.124514698982239,51.5068905353546,125,2019-12-05 23:14:28
"149",2019-12-05 23:14:29,-0.124498844146729,51.5068876743317,126,2019-12-05 23:14:29
"150",2019-12-05 23:14:30,-0.124478697776794,51.506884098053,126,2019-12-05 23:14:30
"151",2019-12-05 23:14:31,-0.124452352523804,51.5068799257278,126,2019-12-05 23:14:31
"152",2019-12-05 23:14:32,-0.124433636665344,51.5068757534027,126,2019-12-05 23:14:32
"153",2019-12-05 23:14:33,-0.124420166015625,51.5068724155426,127,2019-12-05 23:14:33
"154",2019-12-05 23:14:34,-0.124406933784485,51.5068690776825,127,2019-12-05 23:14:34
"155",2019-12-05 23:14:35,-0.124389171600342,51.5068649053574,127,2019-12-05 23:14:35
"156",2019-12-05 23:14:36,-0.124369144439697,51.5068609714508,127,2019-12-05 23:14:36
"157",2019-12-05 23:14:37,-0.124344825744629,51.5068563222885,127,2019-12-05 23:14:37
"158",2019-12-05 23:14:38,-0.124323844909668,51.5068516731262,126,2019-12-05 23:14:38
"159",2019-12-05 23:14:39,-0.124305367469788,51.5068470239639,126,2019-12-05 23:14:39
"160",2019-12-05 23:14:40,-0.124290585517883,51.5068428516388,126,2019-12-05 23:14:40
"161",2019-12-05 23:14:41,-0.124274849891663,51.5068383216858,126,2019-12-05 23:14:41
"162",2019-12-05 23:14:42,-0.124252557754517,51.5068321228027,126,2019-12-05 23:14:42
"163",2019-12-05 23:14:43,-0.124224424362183,51.5068248510361,127,2019-12-05 23:14:43
"164",2019-12-05 23:14:44,-0.124202609062195,51.5068207979202,127,2019-12-05 23:14:44
"165",2019-12-05 23:14:45,-0.124182820320129,51.5068181753159,127,2019-12-05 23:14:45
"166",2019-12-05 23:14:46,-0.124164938926697,51.5068165063858,127,2019-12-05 23:14:46
"167",2019-12-05 23:14:47,-0.124147415161133,51.5068150758743,127,2019-12-05 23:14:47
"168",2019-12-05 23:14:48,-0.124128937721252,51.5068137645721,127,2019-12-05 23:14:48
"169",2019-12-05 23:14:49,-0.124109864234924,51.5068122148514,127,2019-12-05 23:14:49
"170",2019-12-05 23:14:50,-0.12408721446991,51.506809592247,127,2019-12-05 23:14:50
"171",2019-12-05 23:14:51,-0.124068737030029,51.5068066120148,127,2019-12-05 23:14:51
"172",2019-12-05 23:14:52,-0.124054193496704,51.5068038702011,127,2019-12-05 23:14:52
"173",2019-12-05 23:14:53,-0.124038815498352,51.5068007707596,128,2019-12-05 23:14:53
"174",2019-12-05 23:14:54,-0.124017477035522,51.5067969560623,129,2019-12-05 23:14:54
"175",2019-12-05 23:14:55,-0.123992204666138,51.5067934989929,130,2019-12-05 23:14:55
"176",2019-12-05 23:14:56,-0.123959064483643,51.5067903995514,131,2019-12-05 23:14:56
"177",2019-12-05 23:14:57,-0.123933553695679,51.5067876577377,132,2019-12-05 23:14:57
"178",2019-12-05 23:14:58,-0.123914837837219,51.5067862272263,133,2019-12-05 23:14:58
